,AGIXUSDT,DOGEUSDT,FETUSDT,GRTUSDT,LDOUSDT,OPUSDT,RNDRUSDT,SHIB1000USDT
pnl_ratio,0.11019413677221188,0.11471197175623653,0.11265203210173046,0.1061088649636095,0.12352462848569341,0.11936613577646843,0.17640893918422482,0.13703329095982494
pnl_ratio_long_short,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pnl_long,122.88628357663654,127.92448222550789,125.62727898085916,118.33047067529034,137.75217964790548,133.11471227181852,196.72769859669134,152.81676816561156
pnl_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sum_profit_long,154.6418290678692,155.66552323759151,156.01568428033187,174.525437684538,207.020265163636,194.57173916009415,270.8256094190109,175.07053059138605
sum_loss_long,-31.75554549123266,-27.74104101208364,-30.38840529947273,-56.194967009247655,-69.26808551573055,-61.45702688827562,-74.09791082231959,-22.253762425774497
loss_profit_ratio_long,0.2053490034529777,0.1782092812532588,0.1947778868493137,0.3219872573006945,0.33459567574690646,0.31585793062017403,0.2736000889327943,0.127113126067543
sum_profit_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sum_loss_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loss_profit_ratio_short,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stuck_time_ratio_long,0.0009920116952957761,0.000730955986007414,0.0,0.0007831671278650864,0.00031326685114603454,0.0019318122487338798,0.0005221114185767243,0.0004176891348613794
stuck_time_ratio_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_fills_per_day,3.037593984962406,4.2180451127819545,3.2581453634085213,5.959899749373434,4.74937343358396,5.780701754385965,8.041353383458647,4.56390977443609
upnl_pct_min_long,-0.05124178048137865,-0.049999521771267,-0.021583462760378296,-0.08736649287818608,-0.06688268042586187,-0.06553126302214247,-0.0712350904678437,-0.04993906574893391
upnl_pct_min_short,,,,,,,,
