,AGIXUSDT,FETUSDT,GRTUSDT,INJUSDT,LDOUSDT,OPUSDT,RNDRUSDT,SHIB1000USDT
pnl_ratio,0.14505127484612537,0.23680527441326615,0.09370887609786754,0.16853905021367152,0.12284982862181881,0.07189958810150981,0.09383419788601689,0.06731190981972396
pnl_ratio_long_short,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pnl_long,1064.6270320837252,1738.0701875789273,687.7912844668748,1237.0193161662105,901.6759664910653,527.7185269123295,688.7111037756979,494.0465283830239
pnl_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sum_profit_long,1258.8408043615502,2323.570778371947,991.3173493441744,1648.3798650196613,1428.2761936553602,745.3103777363933,820.9090064499785,532.0609236233068
sum_loss_long,-194.21377227782514,-585.5005907930199,-303.5260648772995,-411.36054885345055,-526.6002271642948,-217.59185082406384,-132.1979026742806,-38.014395240282866
loss_profit_ratio_long,0.154279851435484,0.2519831098940148,0.30618455843439357,0.24955446106989665,0.36869635544129375,0.29194796869046585,0.161038436215934,0.07144744812568989
sum_profit_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sum_loss_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loss_profit_ratio_short,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stuck_time_ratio_long,0.014390357940672243,0.018442516494363344,0.001506571769962076,0.08151072783001714,0.029456075640293,0.0005195075068834744,0.0005195075068834744,0.0007273105096368643
stuck_time_ratio_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_fills_per_day,18.22443890274314,15.61720698254364,12.188279301745636,10.67705735660848,14.781795511221945,8.123441396508728,13.721945137157107,11.943890274314214
upnl_pct_min_long,-0.055897655124695494,-0.05972946137382062,-0.056724112735671024,-0.14740439458279173,-0.12976527144182837,-0.06664034532309923,-0.08352081287756083,-0.0791664865417646
upnl_pct_min_short,,,,,,,,
